parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status,mill_id,crop_type,sowing_date,area_hectares
PARCEL_023,29-05-2026,0.51,18.4,2.9,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,04-01-2026,0.083,30.3,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_015,11-01-2026,0.257,34.0,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_012,23-02-2026,0.096,31.6,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_007,15-05-2026,0.509,20.8,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_007,29-05-2026,0.583,25.7,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_001,23-04-2026,0.588,20.1,5.8,OK,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_014,18-03-2026,0.769,18.0,7.8,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_023,17-03-2026,0.499,26.8,0.0,NA,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_014,07-01-2026,0.28800000000000003,19.4,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_019,05-03-2026,0.569,16.9,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_023,11-02-2026,0.28300000000000003,15.3,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_024,17-05-2026,0.609,23.7,0.0,OK,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_017,18-05-2026,0.611,28.8,0.0,OK,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_009,08-04-2026,0.738,25.7,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_007,27-05-2026,0.534,17.3,4.1,NA,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_007,17-05-2026,0.71,30.9,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_023,16-02-2026,0.245,35.1,2.2,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_010,25-01-2026,0.23,17.0,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_021,05-02-2026,0.22899999999999998,33.7,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_002,20-03-2026,0.757,30.6,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_018,16-02-2026,0.72,16.4,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_023,14-02-2026,0.42100000000000004,34.4,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_009,28-02-2026,0.276,19.3,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_015,20-02-2026,0.7070000000000001,23.3,5.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_016,15-01-2026,0.184,34.9,1.6,OK,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_015,13-02-2026,0.802,16.3,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_015,13-05-2026,0.6609999999999999,33.2,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_012,07-01-2026,0.153,20.4,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_018,19-02-2026,0.672,24.9,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_009,14-01-2026,0.138,22.5,5.7,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_019,30-01-2026,0.335,24.7,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_001,15-05-2026,0.44799999999999995,16.4,0.0,OK,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_015,11-03-2026,0.728,28.7,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_005,15-05-2026,0.6659999999999999,21.8,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_005,17-01-2026,0.094,33.4,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_008,21-05-2026,0.639,24.7,0.0,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_006,22-04-2026,0.597,23.3,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_020,23-03-2026,0.589,33.6,0.0,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_002,21-04-2026,0.784,28.5,8.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_023,17-02-2026,0.392,15.6,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_011,01-04-2026,0.586,24.8,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_004,02-02-2026,0.7340000000000001,17.9,0.0,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_002,01-04-2026,0.682,30.6,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_005,28-02-2026,0.239,27.4,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_025,24-03-2026,0.705,22.7,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_025,23-02-2026,0.493,23.8,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_023,19-05-2026,0.552,24.5,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_009,18-04-2026,0.731,24.9,7.2,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_019,12-05-2026,0.735,24.1,0.0,Error,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_009,11-02-2026,0.21100000000000002,33.2,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_021,26-04-2026,0.429,15.9,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_007,09-04-2026,0.696,25.6,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_023,06-03-2026,0.562,33.2,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_019,26-05-2026,0.354,28.1,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_019,06-03-2026,0.695,27.7,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_012,26-02-2026,0.281,23.5,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_015,26-03-2026,0.545,17.6,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_023,06-02-2026,0.4,34.6,4.4,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_005,13-03-2026,0.564,21.3,7.9,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_003,27-05-2026,0.6609999999999999,34.0,0.0,OK,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_017,14-01-2026,0.27699999999999997,31.3,4.5,OK,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_014,22-05-2026,0.439,19.4,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_025,20-05-2026,0.622,30.4,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_004,22-01-2026,0.379,33.5,0.0,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_018,07-02-2026,0.298,33.8,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_004,31-05-2026,0.589,23.8,0.0,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_011,04-05-2026,0.6409999999999999,17.9,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_024,02-03-2026,0.604,22.3,0.0,OK,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_015,25-05-2026,0.5429999999999999,35.2,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_022,23-01-2026,0.248,18.5,0.0,OK,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_023,31-03-2026,0.525,23.8,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_006,17-04-2026,0.778,30.0,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_005,24-01-2026,0.205,26.4,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_021,06-02-2026,0.092,26.7,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_025,05-02-2026,0.223,22.2,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_013,08-05-2026,0.426,18.2,0.0,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_024,12-01-2026,0.312,16.5,0.0,OK,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_021,25-01-2026,0.136,32.1,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_020,18-05-2026,0.508,25.0,0.0,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_004,21-02-2026,0.7859999999999999,23.6,10.0,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_001,15-02-2026,0.34700000000000003,31.4,0.0,NA,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_001,13-01-2026,0.185,32.3,0.0,OK,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_010,13-04-2026,0.615,20.8,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_005,10-01-2026,0.131,29.9,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_012,31-03-2026,0.73,16.8,3.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_013,29-04-2026,0.561,23.3,4.0,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_010,01-02-2026,0.20800000000000002,18.1,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_019,01-01-2026,0.187,17.9,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_007,20-02-2026,0.5760000000000001,25.8,0.9,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_005,18-03-2026,0.604,18.4,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_025,23-01-2026,0.226,27.6,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_010,19-03-2026,0.635,29.9,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_020,06-02-2026,0.249,24.5,0.0,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_013,13-04-2026,0.498,20.0,0.0,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_008,14-01-2026,0.158,29.8,4.8,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_020,09-04-2026,0.569,32.9,0.0,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_023,09-04-2026,0.8220000000000001,28.3,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,22-02-2026,0.45799999999999996,35.1,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_023,25-02-2026,0.888,29.6,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_011,27-03-2026,0.682,20.5,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_008,09-01-2026,0.129,26.0,3.4,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_006,30-01-2026,0.035,23.1,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_024,20-04-2026,0.526,29.7,0.0,OK,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_010,11-04-2026,0.5429999999999999,33.6,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_009,15-05-2026,0.83,28.5,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_008,11-05-2026,0.462,19.3,0.0,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_016,22-05-2026,0.691,20.9,0.0,OK,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_011,10-05-2026,0.853,32.3,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_005,27-02-2026,0.401,17.7,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_010,15-01-2026,0.375,17.0,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_009,02-05-2026,0.6779999999999999,34.1,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_010,24-05-2026,0.547,24.7,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_018,29-04-2026,0.446,22.0,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_025,04-04-2026,0.802,29.3,1.8,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_010,22-01-2026,0.33899999999999997,34.0,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_018,24-02-2026,0.813,33.3,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_010,05-05-2026,0.659,16.9,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_011,17-04-2026,0.5329999999999999,22.4,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_019,27-01-2026,0.182,26.7,0.0,Error,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_011,17-02-2026,0.094,18.1,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_010,24-01-2026,0.449,22.2,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_002,22-05-2026,0.528,22.3,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_019,25-03-2026,0.58,15.5,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_009,17-03-2026,0.226,33.4,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_006,09-04-2026,0.79,25.3,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_017,21-01-2026,0.24600000000000002,30.1,0.0,OK,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_021,03-05-2026,0.525,26.6,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_014,01-02-2026,0.253,20.0,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_007,26-02-2026,0.753,30.8,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_008,28-01-2026,0.262,22.3,0.3,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_016,18-01-2026,0.085,25.7,0.0,OK,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_019,17-05-2026,0.5329999999999999,33.6,2.3,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_009,22-01-2026,0.195,18.1,1.6,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_023,09-02-2026,0.48,28.7,7.9,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_015,26-04-2026,0.615,34.0,0.0,Error,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_008,19-03-2026,0.799,20.0,0.0,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_003,11-05-2026,0.536,16.7,0.0,OK,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_007,07-04-2026,0.6629999999999999,21.2,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_009,25-01-2026,0.172,34.7,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_009,30-05-2026,0.545,27.8,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_004,31-01-2026,0.342,32.2,0.0,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_019,07-04-2026,0.887,15.6,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_006,27-04-2026,0.715,25.6,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_007,22-05-2026,0.647,23.9,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_016,10-01-2026,0.196,28.5,0.0,OK,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_017,01-04-2026,0.57,23.8,0.0,OK,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_019,09-05-2026,0.69,34.8,0.0,NA,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_013,23-02-2026,0.187,18.4,0.0,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_018,02-01-2026,0.14400000000000002,33.4,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_002,23-03-2026,0.603,17.3,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_008,08-02-2026,0.228,25.5,0.0,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_017,13-01-2026,0.141,35.0,0.0,OK,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_022,30-01-2026,0.24,27.8,5.1,OK,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_016,13-05-2026,0.569,23.8,0.0,OK,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_011,08-03-2026,0.35100000000000003,27.7,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_011,02-05-2026,0.524,31.8,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_009,16-02-2026,0.272,23.2,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_004,27-04-2026,0.495,34.1,1.1,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_012,28-05-2026,0.64,30.7,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_014,28-02-2026,0.838,31.0,11.2,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_014,07-04-2026,0.565,20.7,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_015,08-02-2026,0.616,26.7,3.5,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_005,28-04-2026,0.413,18.3,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_023,19-03-2026,0.695,32.3,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_008,20-04-2026,0.755,27.0,0.0,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_011,28-02-2026,0.419,32.3,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_018,05-03-2026,0.725,19.9,0.0,Error,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_014,11-05-2026,0.585,24.9,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_002,15-03-2026,0.787,19.0,0.0,Error,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_009,10-03-2026,0.242,25.4,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_013,31-03-2026,0.7070000000000001,16.0,6.3,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_010,17-02-2026,0.556,29.0,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_013,23-01-2026,0.22399999999999998,28.1,0.0,NA,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_009,20-03-2026,0.569,30.0,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_002,08-03-2026,0.5429999999999999,22.1,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_002,14-04-2026,0.7340000000000001,24.7,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_003,22-02-2026,0.386,32.0,0.0,OK,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_015,04-04-2026,0.767,29.5,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_006,19-02-2026,0.3,27.9,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_004,28-02-2026,0.5870000000000001,30.9,1.4,NA,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_010,05-02-2026,0.212,22.8,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_004,05-03-2026,0.609,16.9,3.0,NA,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_012,08-05-2026,0.648,28.6,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_005,18-04-2026,0.41100000000000003,28.5,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_015,22-04-2026,0.589,35.1,2.0,Error,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_008,31-01-2026,0.252,23.1,0.0,OK,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_006,31-01-2026,0.215,32.0,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_011,06-02-2026,0.166,33.1,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_012,15-01-2026,0.038,16.6,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_021,30-03-2026,0.71,17.1,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_007,01-04-2026,0.764,23.0,1.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_018,22-01-2026,0.35,32.5,0.0,OK,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_012,03-01-2026,0.11800000000000001,15.5,0.0,OK,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_015,23-04-2026,0.436,33.4,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_022,25-04-2026,0.575,32.2,1.6,OK,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_015,06-05-2026,0.49,18.1,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_014,14-04-2026,0.503,27.8,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_017,24-01-2026,0.28800000000000003,28.2,0.0,OK,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_005,02-01-2026,0.168,26.3,6.5,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_023,21-05-2026,0.657,25.2,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_007,19-04-2026,0.637,27.2,0.0,OK,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_002,05-02-2026,0.43,32.3,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_019,16-01-2026,0.201,26.9,0.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_023,16-03-2026,0.655,17.0,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_010,15-04-2026,0.57,17.4,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_023,15-05-2026,0.46299999999999997,28.7,0.2,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_024,29-01-2026,0.45399999999999996,31.7,0.0,OK,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_021,09-05-2026,0.675,32.0,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_011,27-05-2026,0.462,32.6,0.0,OK,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_023,28-04-2026,0.42100000000000004,30.8,1.5,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_022,23-03-2026,0.62,26.9,0.0,OK,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_005,23-04-2026,0.5,29.2,0.0,OK,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_023,05-03-2026,0.696,23.7,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,01-05-2026,0.6920000000000001,28.7,2.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_009,25-03-2026,0.7929999999999999,23.3,0.0,OK,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_025,28-01-2026,0.213,28.5,6.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_024,07-01-2026,0.188,25.6,3.0,OK,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_019,24-01-2026,0.183,24.0,3.7,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_016,22-02-2026,0.439,27.9,0.0,OK,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_021,23-01-2026,0.166,18.6,0.0,OK,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_006,23-02-2026,0.46799999999999997,34.1,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
